Communication;Nodes;Processes;Size;Communication-time;Operations-time;Total-time;
1;8;;1024;0.032621;0.044799;0.077419;
1;1;;2048;0.091362;0.730512;0.821875;
1;2;;2048;0.117999;0.375312;0.493311;
1;4;;2048;0.094914;0.197867;0.292781;
1;8;;2048;0.137730;0.166986;0.304716;
1;1;;4096;0.349750;2.692756;3.042506;
1;2;;4096;0.356452;1.381692;1.738144;
1;4;;4096;0.373267;0.730747;1.104014;
1;8;;4096;0.538806;0.673074;1.211880;
0;16;;256;0.070439;0.001266;0.071705;
0;32;;256;0.210539;0.000488;0.211027;
0;16;;512;0.086428;0.005251;0.091680;
0;32;;512;0.230913;0.002481;0.233394;
0;16;;1024;0.130009;0.021573;0.151582;
0;32;;1024;0.290999;0.010544;0.301543;
0;16;;2048;0.329050;0.074628;0.403679;
0;32;;2048;0.492738;0.036599;0.529338;
0;16;;4096;1.074945;0.328947;1.403891;
0;1;;256;0.001534;0.013526;0.015060;
0;2;;256;0.001497;0.006194;0.007692;
0;4;;256;0.002039;0.005485;0.007524;
0;8;;256;0.002188;0.002823;0.005011;
0;1;;512;0.008297;0.045285;0.053582;
0;2;;512;0.006408;0.023277;0.029685;
0;4;;512;0.015608;0.012188;0.027797;
0;8;;512;0.011590;0.010941;0.022531;
0;1;;1024;0.019884;0.181156;0.201041;
0;2;;1024;0.020605;0.093133;0.113738;
0;4;;1024;0.030050;0.050046;0.080096;
0;8;;1024;0.031754;0.044639;0.076393;
0;1;;2048;0.076106;0.730584;0.806689;
0;2;;2048;0.112211;0.375964;0.488174;
0;4;;2048;0.098645;0.202483;0.301129;
0;8;;2048;0.132436;0.167144;0.299580;
0;1;;4096;0.305866;2.690801;2.996666;
0;2;;4096;0.336188;1.386173;1.722360;
0;4;;4096;0.361430;0.745109;1.106539;
0;8;;4096;0.512785;0.697523;1.210308;
1;1;;256;0.001437;0.012129;0.013566;
1;2;;256;0.001661;0.006197;0.007858;
1;4;;256;0.002127;0.005456;0.007583;
1;8;;256;0.004644;0.002654;0.007299;
1;1;;512;0.005364;0.045314;0.050678;
1;2;;512;0.006372;0.023321;0.029693;
1;4;;512;0.008659;0.021710;0.030369;
1;8;;512;0.010431;0.011052;0.021483;
1;1;;1024;0.024510;0.181517;0.206026;
1;2;;1024;0.022586;0.093225;0.115811;
1;4;;1024;0.023255;0.049103;0.072358;
1;8;;1024;0.031584;0.044572;0.076156;
1;1;;2048;0.088855;0.730546;0.819400;
1;2;;2048;0.116408;0.375166;0.491574;
1;4;;2048;0.107315;0.197771;0.305086;
1;8;;2048;0.139771;0.168078;0.307849;
1;1;;4096;0.354488;2.693092;3.047581;
1;2;;4096;0.356327;1.403057;1.759384;
1;4;;4096;0.373489;0.732828;1.106317;
1;8;;4096;0.543813;0.674869;1.218682;
0;16;;256;0.074401;0.001232;0.075634;
0;32;;256;0.211274;0.000685;0.211959;
0;16;;512;0.268014;0.005260;0.273274;
0;32;;512;0.211080;0.002482;0.213562;
0;16;;1024;0.109964;0.021602;0.131566;
0;32;;1024;0.260340;0.010514;0.270854;
0;16;;2048;0.280958;0.074800;0.355759;
0;32;;2048;0.449204;0.036651;0.485855;
0;16;;4096;1.066599;0.328777;1.395377;
0;32;;4096;1.589730;0.161278;1.751008;
1;16;;256;0.080493;0.001475;0.081968;
1;32;;256;0.230596;0.000496;0.231092;
1;16;;512;0.096375;0.005221;0.101597;
1;32;;512;0.221005;0.002574;0.223580;
1;16;;1024;0.113799;0.022057;0.135856;
1;32;;1024;0.282692;0.010474;0.293166;
1;16;;2048;0.279201;0.073881;0.353081;
1;32;;2048;0.444323;0.036455;0.480779;
1;16;;4096;1.065338;0.326838;1.392176;
1;32;;4096;1.381366;0.165435;1.546802;
0;16;;256;0.080561;0.001232;0.081794;
0;32;;256;0.210613;0.000498;0.211111;
0;16;;512;0.081280;0.005210;0.086490;
0;32;;512;0.220975;0.002478;0.223453;
0;16;;1024;0.129996;0.021593;0.151589;
0;32;;1024;0.280180;0.010536;0.290716;
0;16;;2048;0.281063;0.074421;0.355483;
0;32;;2048;0.461186;0.036623;0.497809;
0;16;;4096;1.074681;0.327987;1.402668;
0;32;;4096;1.372177;0.162944;1.535121;
1;16;;256;0.090589;0.001510;0.092099;
1;32;;256;0.210671;0.000489;0.211160;
1;16;;512;0.214267;0.005202;0.219470;
1;32;;512;0.228746;0.002478;0.231225;
1;16;;1024;0.130618;0.021501;0.152119;
1;32;;1024;0.323457;0.010868;0.334325;
1;16;;2048;0.312146;0.074007;0.386152;
1;32;;2048;0.437428;0.036674;0.474102;
1;16;;4096;1.075128;0.332310;1.407438;
1;32;;4096;1.560810;0.161492;1.722302;
0;1;;256;0.001842;0.011889;0.013731;
0;2;;256;0.001481;0.005950;0.007431;
0;4;;256;0.002032;0.005489;0.007521;
0;8;;256;0.003532;0.002705;0.006238;
0;1;;512;0.006480;0.045399;0.051879;
0;2;;512;0.005291;0.023286;0.028577;
0;4;;512;0.007623;0.017448;0.025071;
0;8;;512;0.008109;0.010993;0.019102;
0;1;;1024;0.022996;0.181005;0.204000;
0;2;;1024;0.022430;0.093162;0.115593;
0;4;;1024;0.039837;0.048780;0.088617;
0;8;;1024;0.031706;0.044622;0.076328;
0;1;;2048;0.078908;0.731350;0.810258;
0;2;;2048;0.112586;0.375097;0.487683;
0;4;;2048;0.092417;0.201971;0.294388;
0;8;;2048;0.135954;0.167307;0.303261;
0;1;;4096;0.305325;2.693595;2.998920;
