Communication;Nodes;Processes;Size;Communication-time;Operations-time;Total-time;
0;8;;256;0.005365;0.010469;0.015834;
0;2;;256;0.001605;0.005073;0.006678;
1;2;;256;0.000968;0.005063;0.006031;
0;2;;256;0.001762;0.003423;0.005185;
0;2;;4096;0.214042;0.799539;1.013581;
1;8;;256;0.005947;0.009850;0.015798;
1;8;;1024;0.026783;0.176095;0.202878;
1;1;;1024;0.014408;0.815757;0.830164;
1;2;;1024;0.018217;0.400434;0.418652;
